Plate,Group,Treatment,Day,Location,Well ID,sCD40L,hEGF,hEotaxin,hFGF-2,hFLT-3L,hG-CSF,hGM-CSF,hGROa,hIFNa2,hIFNy,hIL-1a,hIL-1b,hIL-1RA,hIL-2,hIL-3,hIL-4,hIL-6,hIL-7,hIL-8,hIL-10,hIL-15,hIL-17A,hIL-17E/IL-25,hIL-17F,hIL-22,hIL-27,hIP-10,hMCP-1,hMCP-3,hMDC,hPDGF-AA,hPDGF-AB/BB,hRANTES,hTGFa,hTNFa,hTNFb,hVEGF-A
Plate 1,mgh2_msc_03,MSC,3,A6,14,-,19.47841,6.002287,350.7385,2.514718,42.03431,38.55636,1.536954,3.631583,4.472772,3.142256,5.300218,7.795544,3.517185,2.297527,1.996608,14.97784,1.805783,1.140296,-,16.17415,13.11142,166.7635,-,63.35559,596.4124,16.6889,28.18172,23.50299,0.891916,9.39534,1201.595,1.02341,4.251903,-,17.22989,26.03784
Plate 1,mgh2_msc_03,MSC,3,A7,15,175.9032,21.97861,10.28869,350.0463,2.110171,23.75881,75.71313,1.257635,8.120184,7.587026,4.906143,5.915309,3.327419,1.660132,8.830624,2.755294,5.792067,6.856805,0.120341,9.139034,20.13922,9.240107,215.2197,-,70.65071,439.1198,13.43968,29.07731,45.98766,1.731864,9.709257,1082.341,1.54151,2.946555,9.087747,9.887599,25.23242
Plate 1,mgh2_msc_03,MSC,3,A8,16,248.6463,19.37941,10.63268,332.7012,2.537606,7.529335,169.2878,-,12.34907,4.132559,6.270232,7.161252,4.872477,2.276178,5.312938,2.149464,3.660066,6.199905,0.324154,8.173941,21.3536,15.05244,216.699,-,63.73818,458.2516,10.55306,30.25361,38.23913,0.876876,23.00664,868.5233,1.373079,4.475496,6.702502,10.88509,22.22927
Plate 1,mgh2_msc_05,MSC,5,B6,20,261.6463,18.58732,14.7858,386.4232,2.487631,32.64619,73.1137,35.33359,5.098023,5.335152,113.1458,4.730292,3442.181,2.545112,2.85257,3.075959,3.522308,3.077184,32.40323,7.468197,21.29709,14.6547,238.1167,26.70077,68.11896,582.7681,16.39751,32.38587,45.72924,63.69747,12.42205,1157.242,2.220236,5.435295,6.410174,15.61153,36.02781
Plate 1,mgh2_msc_05,MSC,5,B7,21,196.7761,15.39107,11.37484,330.5045,2.641043,17.73195,48.24989,1.278879,5.961897,4.523677,3.932975,4.659762,2.771587,1.971689,1.772107,1.767285,2.095465,1.483603,0.236418,7.953097,17.26786,8.02604,182.8852,-,48.22373,412.1374,11.24499,28.88785,36.58159,0.558071,9.090722,800.7062,1.08613,3.41033,5.363546,10.90071,22.19375
Plate 1,mgh2_msc_05,MSC,5,B8,22,143.2616,16.57312,13.88657,345.5822,2.350412,17.31803,56.58891,0.994036,8.131256,4.153916,3.182918,6.06908,2.758892,1.953208,1.845674,2.652067,1.83064,2.496887,-,-,16.00794,10.50603,194.9932,19.98161,57.64339,542.0811,11.77211,29.83604,23.22841,0.530759,9.147712,912.7095,1.105281,2.597864,4.520054,11.39853,19.20312
Plate 1,mgh2_msc_10,MSC,10,C6,26,165.359,17.64691,7.988636,350.5946,2.476154,23.49021,154.712,1.084571,11.14992,6.710356,4.251424,5.490106,2.572574,2.51238,4.634007,2.255008,1.651992,7.771101,0.148296,-,19.68223,13.33707,191.8422,20.47902,70.28512,434.9665,16.27917,27.2911,40.34575,1.091586,12.84399,861.7169,1.369117,4.068362,8.971097,11.52752,23.91332
Plate 1,mgh2_msc_10,MSC,10,C7,27,143.5271,17.91773,8.246885,343.8822,2.386825,16.52021,111.0667,1.176263,8.126729,5.594133,2.219909,4.906631,2.778249,2.638751,4.182265,2.714904,1.856518,4.959716,0.180989,7.723424,16.73556,12.3076,181.3779,-,74.93958,508.2418,13.16301,31.06231,59.10423,0.967121,13.01317,1056.1,0.869883,3.769406,6.365676,10.47817,15.2175
Plate 1,mgh2_msc_10,MSC,10,C8,28,177.1288,15.99201,7.002626,347.4313,2.220852,18.12193,67.06363,0.915401,11.07479,5.338604,3.278453,4.53589,2.853379,1.81492,3.419341,2.297101,1.788165,3.481286,0.344061,6.86036,20.0646,13.24416,174.6832,19.58234,65.33889,462.815,13.1499,29.50314,41.39384,1.011063,13.88495,1007.784,1.617703,3.062495,5.215893,7.961877,17.92491
Plate 1,mgh2_msc_12,MSC,12,D6,32,190.3805,16.02409,3.82759,351.6823,1.988955,15.4548,131.0511,1.33453,1.926986,4.035676,2.696612,7.353186,4.600263,2.330685,4.345325,1.408427,1.868623,11.99653,0.430374,-,21.24554,5.969524,177.8184,-,55.77158,341.542,14.98798,29.65442,28.8973,1.576586,12.16845,662.5596,1.553086,3.849896,4.701764,5.261422,26.10156
Plate 1,mgh2_msc_12,MSC,12,D7,33,128.3053,16.75859,5.573775,347.9694,2.322617,20.27176,47.22925,1.485566,6.992941,5.302514,2.81288,5.320695,2.829103,2.327771,2.810187,2.346037,1.874917,2.281574,-,-,19.65481,14.13571,186.2914,-,60.49939,444.7699,15.39456,28.82335,36.74423,1.147302,13.44051,937.5627,1.158157,3.94027,5.626493,11.22847,23.81859
Plate 1,mgh2_msc_12,MSC,12,D8,34,207.7361,16.16228,8.417024,355.3653,2.267062,14.59236,66.71098,1.438308,7.046999,5.349915,3.59287,4.520739,-,1.848969,1.9794,1.978968,1.567886,4.02826,0.265466,-,20.32747,12.12482,182.6246,-,55.50349,474.6528,12.06467,27.50002,35.80089,1.079786,10.41901,891.0817,1.055598,3.464581,5.186535,12.6488,25.44304
Plate 1,mgh2_msc_15,MSC,15,E6,38,154.2209,13.47555,6.535393,376.5583,2.349739,15.67529,76.72201,1.601842,7.72791,4.408688,2.347923,3.949243,2.786097,1.857899,1.510201,2.163256,1.837557,2.797557,0.307396,7.396996,22.87174,8.139682,206.5695,-,51.1004,447.9034,11.06274,27.54954,35.3089,0.860998,11.59252,1046.71,1.229201,3.189251,7.827501,10.21855,24.19281
Plate 1,mgh2_msc_15,MSC,15,E7,39,-,13.37385,8.486165,356.931,2.255158,16.33337,53.90534,0.856176,9.106734,5.20338,3.576963,5.800018,3.110589,1.76976,2.491456,2.103792,1.653852,2.567075,0.214425,6.815529,19.78012,9.811043,172.2991,-,55.70227,334.1128,11.03812,28.70303,38.62352,0.805415,9.826086,834.7668,1.341745,3.657056,5.399713,9.730249,24.94138
Plate 1,mgh2_msc_15,MSC,15,E8,40,138.6901,15.25953,7.559929,355.4594,1.886558,17.72854,44.46834,1.664684,5.185003,5.314894,3.000785,5.285308,2.678812,1.748113,1.654482,1.740488,1.478823,1.866354,0.240422,6.144806,20.23864,11.22733,188.0684,-,53.15058,459.5752,11.69431,25.66971,33.87377,0.865362,11.10025,912.8952,1.176608,3.475531,5.383954,10.74241,25.34971
Plate 1,mgh2_msc_17,MSC,17,F6,44,212.009,20.36014,12.08561,388.7518,2.355403,19.46533,179.2579,1.091115,10.46342,5.146618,2.906613,8.693244,3.326024,2.015284,4.954623,1.692851,1.620642,6.15577,0.255103,7.847582,22.24559,11.41324,219.7311,-,64.96056,460.9083,14.95081,28.6288,47.90883,1.401073,7.760545,968.4416,1.299964,4.249514,5.081879,13.61535,27.46541
Plate 1,mgh2_msc_17,MSC,17,F7,45,182.5092,16.60683,10.59671,374.3895,1.774393,20.61956,107.72,1.612506,13.67271,5.450149,4.106268,6.596566,5.295987,2.400927,5.178986,1.680982,1.869849,5.462832,0.222841,7.129544,18.69244,10.99756,221.1722,19.82431,73.23505,599.3061,15.98597,29.89475,46.73181,0.903108,14.21946,1008.19,1.522539,4.467807,9.219279,8.855651,31.74004
Plate 1,mgh2_msc_17,MSC,17,F8,46,262.8582,20.13833,13.74596,427.115,3.248719,32.00136,90.72771,1.92972,12.01543,12.12631,4.922977,11.01082,6.498737,3.833637,7.038744,2.475583,3.907514,4.441951,0.506976,9.414958,22.39937,16.12041,370.8311,34.21625,107.253,599.4229,18.75724,31.00031,57.77307,1.521216,19.64611,1292.662,1.546864,5.649827,7.159542,16.63416,42.57987
Plate 1,mgh2_msc_19,MSC,19,G6,50,142.2561,15.32425,5.414456,342.4695,2.045379,15.75757,146.495,0.94128,10.61491,5.285838,2.557357,5.828994,2.577737,1.698973,2.19839,1.909413,1.518512,5.485187,-,5.932783,19.65573,14.3602,187.8911,-,55.06314,408.674,13.06727,30.41374,41.36777,0.758574,11.46606,867.5203,1.258591,3.190862,5.791794,10.10524,19.80553
Plate 1,mgh2_msc_19,MSC,19,G7,51,119.9524,15.29544,9.32686,338.979,2.29535,16.32716,148.7658,0.930994,9.203749,4.883045,3.604845,5.06659,3.033152,2.058002,4.319054,1.97454,1.498646,9.438397,0.205661,6.004637,19.44939,12.08647,162.8198,-,61.62483,405.6637,12.10408,26.7378,40.00527,0.951236,11.1761,921.8986,1.216479,3.197393,3.879959,9.316164,19.556
Plate 1,mgh2_msc_19,MSC,19,G8,52,129.5913,13.81271,8.40553,340.7743,2.276281,12.45835,132.7307,1.001831,6.834861,4.877711,3.064406,3.841687,2.879888,1.561125,2.067655,1.605922,1.207314,5.783521,0.243234,5.059019,18.7471,10.42244,153.1322,-,49.97275,289.911,11.15077,27.67791,38.1423,0.813532,11.40178,801.4646,1.10341,2.831176,6.301848,8.871554,15.50343
Plate 1,mgh2_dual_03,Dual,3,A3,11,292.4557,22.71046,10.1912,405.5107,2.97556,24.56443,61.79702,1.22399,11.04215,8.759978,5.237183,9.86902,2.868831,2.261933,69.03874,1.732597,32.42728,6.018558,1.645402,10.82221,18.97714,10.59745,184.5459,20.45729,62.83542,481.2894,14.7626,31.48928,32.00857,0.946128,15.84484,939.5914,2.265113,5.370022,12.91429,12.75405,44.48673
Plate 1,mgh2_dual_03,Dual,3,A4,12,173.8089,18.51678,2.04116,374.3251,2.662975,19.96201,45.29401,1.523751,4.510203,5.942237,3.808444,3.454126,4.943315,2.11238,5.180352,2.916508,12.28707,3.472252,0.41123,-,19.56035,14.97935,199.3461,21.00143,50.43253,442.6292,13.29869,26.07121,32.38795,1.094759,6.041425,1005.638,1.706095,4.402527,2.35748,10.47468,28.74012
Plate 1,mgh2_dual_03,Dual,3,A5,13,-,20.98848,7.481806,385.3247,1.804889,25.23493,23.22724,1.80008,10.14481,5.136947,2.744639,8.078416,3.998597,2.561753,1.498762,3.228567,28.63274,0.520373,1.552557,5.828717,20.06483,9.888848,249.4116,24.17637,75.8608,478.9302,11.43219,31.59407,50.07552,0.77146,18.94309,954.2879,1.039513,6.520769,10.62379,16.1376,50.7996
Plate 1,mgh2_dual_05,Dual,5,B3,17,176.8282,16.50985,6.514193,363.1806,2.644572,22.58941,76.93514,1.619309,10.46051,6.601409,5.348033,6.104376,4.294432,2.395316,3.921073,2.325207,2.572553,3.756931,0.436715,6.826979,21.77213,12.40083,232.8522,-,67.03183,491.5112,13.85682,29.1274,47.28953,0.987972,15.69324,1012.215,1.260493,4.609498,6.611233,11.30924,18.7799
Plate 1,mgh2_dual_05,Dual,5,B4,18,135.6422,14.52834,7.016835,320.0869,2.476723,24.49147,73.62516,1.557283,8.688168,5.971254,4.49423,5.729406,-,2.19286,3.06437,1.464383,2.301063,1.931286,0.413814,6.787329,19.58985,11.6233,197.6218,19.11653,56.33367,463.2662,13.44775,26.14973,46.06013,0.937935,12.55261,1034.559,1.382851,3.456906,6.688243,9.208571,21.24162
Plate 1,mgh2_dual_05,Dual,5,B5,19,176.0779,22.01228,14.08672,312.0017,3.012955,19.45001,193.8046,1.863236,13.7439,5.8184,4.100595,7.339747,3.143657,1.94739,3.701454,2.157108,2.181386,7.163246,0.311202,6.953027,19.8579,17.18661,329.4823,38.08525,58.10837,647.5143,17.67233,31.30544,57.67225,1.564332,15.2283,1089.9,1.749146,3.280288,15.10542,15.94031,23.09339
Plate 1,mgh2_dual_10,Dual,10,C3,23,143.1502,20.62112,10.94311,405.91,3.054309,32.38352,118.1765,-,11.02039,6.951468,4.451648,7.416815,3.391152,3.287552,8.600308,2.574596,2.454744,6.53886,0.604052,9.624077,20.75822,16.57382,230.0757,25.00462,73.62005,572.3656,15.72188,30.34097,43.48227,1.408929,14.03,1101.135,1.510004,4.921525,10.29193,13.46221,22.46474
Plate 1,mgh2_dual_10,Dual,10,C4,24,186.4323,17.14968,10.51442,370.0911,2.957227,31.95508,52.73996,1.7718,9.145462,7.098773,6.826046,6.69041,6.34274,3.004848,3.369185,2.056109,2.915607,4.418718,0.459052,6.598131,21.56688,12.4552,221.3485,24.58132,77.01319,541.544,16.91303,28.67128,48.3843,1.168513,14.50208,1124.422,1.44406,4.247194,8.700709,17.87349,20.3158
Plate 1,mgh2_dual_10,Dual,10,C5,25,119.7441,19.90559,8.806428,388.8701,3.061364,20.97565,93.33694,1.63238,12.70999,6.186519,27.15833,9.552432,6.381312,3.226415,5.038729,2.205431,3.036828,4.883768,0.454527,5.615248,18.52039,14.6358,202.2758,25.49787,74.70251,645.7183,15.80355,31.09,61.86381,1.591793,18.60244,1091.221,1.48395,4.014013,8.09967,12.83775,23.64806
Plate 1,mgh2_dual_12,Dual,12,D3,29,214.4573,20.69528,9.821134,369.676,3.03929,25.73423,112.7788,2.023584,11.83818,7.217226,8.596074,7.018379,3.642081,2.637458,4.916665,2.315457,2.355598,6.520745,0.444575,8.126648,19.48544,16.88818,223.7584,24.80971,79.81112,515.8914,16.2521,30.60688,47.83075,1.469664,14.7073,1041.981,1.568123,4.513759,4.561697,11.23018,26.74734
Plate 1,mgh2_dual_12,Dual,12,D4,30,192.6525,18.23528,11.81923,393.0016,2.396291,22.20084,69.84737,1.0505,7.389434,6.56295,13.97409,7.694975,4.963904,3.189618,4.62633,4.730986,2.268092,2.122864,0.623197,8.315666,21.13331,13.56896,317.8348,-,81.29023,471.2615,14.17902,29.15688,52.42748,1.299918,10.55052,1230.125,1.616598,4.014221,9.914449,10.13018,27.14494
Plate 1,mgh2_dual_12,Dual,12,D5,31,165.0887,18.41959,8.505008,360.2689,2.616565,22.34978,57.19079,1.334787,9.377947,6.26364,3.258974,6.974764,-,2.473386,3.849974,2.508341,2.147006,3.109812,0.263237,7.689592,19.17917,14.53593,231.5666,20.39515,69.45162,511.4302,14.72815,28.90562,47.39966,1.089739,16.45316,947.084,1.430496,4.172166,6.918658,14.51069,22.69744
Plate 1,mgh2_dual_15,Dual,15,E3,35,180.1204,20.23461,7.387461,334.6775,2.68873,18.3922,91.69245,1.833391,11.5063,5.744409,4.423603,6.178033,3.085474,2.777166,3.316168,2.354088,2.165211,7.221596,0.355919,8.174792,20.19962,12.86383,218.2787,25.11037,61.98332,550.1605,14.99859,29.69876,44.54373,1.10032,14.73395,1066.963,0.998654,3.859008,8.677641,13.08337,25.25077
Plate 1,mgh2_dual_15,Dual,15,E4,36,251.267,18.81672,11.74376,329.8766,3.118282,28.66443,76.35149,1.776196,11.75978,5.987514,5.539417,7.123289,3.287304,2.407158,2.232581,2.818719,2.449548,2.628312,0.356002,9.983662,21.31084,11.87843,152.6534,24.43212,81.09392,558.5976,14.33631,30.91876,56.66335,0.870337,21.5703,978.6457,1.103098,5.70472,6.90184,9.826562,32.43946
Plate 1,mgh2_dual_15,Dual,15,E5,37,141.0806,13.66969,11.46007,340.9657,2.787741,16.91501,218.3884,-,12.88391,5.816844,3.957083,5.278051,4.236303,2.111477,2.0902,1.414804,1.77459,6.956219,0.444287,8.295104,20.1894,6.698739,156.6031,-,56.73499,409.2007,11.87315,28.8548,37.81003,0.854495,18.01849,916.5427,1.688526,3.709754,7.701884,9.316246,21.52832
Plate 1,mgh2_dual_17,Dual,17,F3,41,225.8523,21.25015,10.87763,365.0581,3.237688,35.46579,145.0495,1.815084,14.68007,8.081354,4.07262,8.367004,4.321018,3.469118,9.064343,2.87477,2.632253,13.66731,0.439343,10.59451,21.90893,14.06707,266.5371,26.6903,82.79563,646.7608,19.24579,31.32828,55.50357,1.348581,16.58569,1159.61,1.736559,4.473172,8.162945,13.84682,30.14885
Plate 1,mgh2_dual_17,Dual,17,F4,42,-,19.77025,12.54953,348.0346,2.909901,22.49067,35.74827,1.760876,9.463381,7.904021,2.852367,5.600445,4.690046,2.265853,3.720017,3.031805,1.630972,4.57894,0.27974,8.990969,25.0479,10.2567,250.3073,27.9519,84.37561,613.45,16.69874,26.46309,44.64534,1.394033,16.39001,960.3797,1.545472,3.80634,11.39157,14.47328,23.63276
Plate 1,mgh2_dual_17,Dual,17,F5,43,215.0119,19.60494,9.563616,357.4046,2.753205,23.03634,165.6356,1.822937,10.67285,5.846436,4.357688,7.076621,3.955929,2.336355,4.869664,2.474342,1.861482,6.964939,0.1738,8.530666,20.27575,13.56162,228.9048,19.58951,70.85772,507.8024,15.72219,28.40736,45.58702,1.197612,15.14765,1002.305,1.644867,4.410375,4.740456,11.42683,30.67112
Plate 1,mgh2_dual_19,Dual,19,G3,47,155.5458,20.61073,10.00295,367.4139,2.462295,25.67858,89.60545,1.412817,9.718329,6.383585,5.93236,7.316823,3.335059,2.309021,7.586503,2.48356,2.180801,5.317912,0.368111,7.908165,20.19253,15.34368,214.4471,21.85253,69.02812,470.4967,15.49838,28.95893,49.20344,1.167348,16.01571,1030.373,1.279909,3.524692,7.222291,13.72009,21.31791
Plate 1,mgh2_dual_19,Dual,19,G4,48,151.7602,15.27641,7.626335,391.4414,2.609285,28.75296,40.64429,1.174722,10.19294,7.501522,6.288162,6.222237,2.96639,2.350755,4.792927,3.541016,2.354314,5.915537,0.340639,6.024546,18.18566,19.49927,212.6156,-,66.99304,576.823,16.77421,30.00422,39.42096,0.874937,15.46708,1263.79,1.363376,4.690898,7.887351,13.8153,21.73291
Plate 1,mgh2_dual_19,Dual,19,G5,49,121.5475,17.33115,7.036371,357.3264,2.502231,17.88799,208.0685,1.237588,9.274474,6.300275,3.006665,5.158841,3.312419,2.280579,2.935202,2.018722,2.019115,10.03253,0.198283,5.9013,19.71377,12.60873,167.8368,-,65.17692,440.255,13.69293,31.20557,40.55918,0.895819,12.20689,1003.489,1.31835,3.39183,6.833142,13.42942,23.94608
Plate 1,mgh3_msc_03,MSC,3,I4,62,399.5223,26.31192,13.75517,403.4388,3.553956,38.58187,140.7491,1.770218,17.54903,18.99356,2.921454,11.85237,8.046729,5.953163,10.94773,2.759899,5.273377,14.19565,0.564624,12.42552,26.80377,19.3301,456.7304,44.17394,131.0337,655.8014,23.70117,32.56526,50.2817,2.343936,26.18036,1203.014,2.106752,7.891977,6.210939,22.4936,60.53092
Plate 1,mgh3_msc_03,MSC,3,I5,63,211.9106,19.24626,12.18453,370.1287,2.307018,17.00996,167.1322,1.349867,8.988255,6.392263,3.898039,7.933685,3.241362,1.922372,1.892929,1.990444,3.130084,4.312977,0.60039,8.092679,19.31935,13.17957,256.8584,-,66.85811,467.7473,14.33915,26.20235,43.63235,0.899602,19.21692,907.7751,1.343739,3.624666,5.697503,10.85378,23.84104
Plate 1,mgh3_msc_03,MSC,3,I6,64,247.0033,23.15398,10.90152,418.2685,4.027759,27.64521,126.6692,2.787796,14.83735,14.67826,5.497757,10.01069,6.56918,4.586798,2.656962,4.66386,6.648982,6.61394,0.536267,13.09136,23.32024,19.42656,365.6178,33.74287,145.3408,679.4289,23.15397,38.01867,68.42518,1.839992,18.44925,1239.891,2.129706,7.975062,9.997316,16.45494,51.1123
Plate 1,mgh3_msc_06,MSC,6,I10,68,120.4367,13.64539,5.432822,336.9116,2.333331,14.14018,14.31027,1.451969,6.123307,4.335281,2.656541,4.428611,-,1.704465,0.543999,1.940001,2.163794,0.591195,0.270904,4.869772,19.36205,11.51271,167.2561,-,46.73937,335.1683,12.06693,27.68714,35.83525,0.764355,9.290041,840.1192,1.271158,2.927397,4.698504,8.824171,25.74798
Plate 1,mgh3_msc_06,MSC,6,I11,69,114.1436,13.64763,7.29326,341.2587,1.915277,13.7352,54.74566,1.164976,7.904965,4.247374,3.567938,5.919326,2.821987,1.676755,0.529463,1.920623,2.795927,1.143423,0.128995,6.330189,17.64766,9.582733,168.2938,-,47.66476,405.1818,11.59263,29.73855,37.64538,0.890864,10.88583,842.9764,1.107009,3.773913,4.493711,8.717094,24.21156
