Analyte,LoD
sCD40L,109.7746051
hEGF,2.268173698
hEotaxin,2.021808877
hFGF-2,8.863756709
hFLT-3L,0.377063234
hFractalkine,47.4024142
hG-CSF,7.186577019
hGM-CSF,0.739434751
hGROa,0.826031707
hIFNa2,0.142554336
hIFNy,0.233336947
hIL-1a,0.716682692
hIL-1b,1.438674366
hIL-1RA,2.503803884
hIL-2,0.32434243
hIL-3,0.077340764
hIL-4,0.041298552
hIL-5,0.353162285
hIL-6,0.156017524
hIL-7,0.084718539
hIL-8,0.111479592
hIL-9,10.64832595
hIL-10,4.831905857
hIL-12(p40),8.494900022
hIL-12(p70),12.48952548
hIL-13,16.44693068
hIL-15,10.5640722
hIL-17A,0.283077256
hIL-17E/IL-25,19.07949701
hIL-17F,16.91064919
hIL-18,1.868708026
hIL-22,2.183195856
hIL-27,24.36540839
hIP-10,5.188929905
hMCP-1,17.34294337
hMCP-3,16.45715471
hM-CSF,104.3908318
hMDC,0.05518843
hMIG/CXCL9,238.5551814
hMIP-1a,87.58146522
hMIP-1b,27.72642711
hPDGF-AA,5.366257816
hPDGF-AB/BB,13.63105559
hRANTES,0.711227584
hTGFa,0.937296369
hTNFa,0.654616185
hTNFb,1.922422556
hVEGF-A,13.19932724